full_name,category,default_branch,commits_atom,releases_atom
Azure-Samples/Legacy-Modernization-Agents,samples,main,https://github.com/Azure-Samples/Legacy-Modernization-Agents/commits/main.atom,https://github.com/Azure-Samples/Legacy-Modernization-Agents/releases.atom
microsoft/agentic-applications-for-unified-data-foundation-solution-accelerator,samples,main,https://github.com/microsoft/agentic-applications-for-unified-data-foundation-solution-accelerator/commits/main.atom,https://github.com/microsoft/agentic-applications-for-unified-data-foundation-solution-accelerator/releases.atom
Azure-Samples/chat-with-your-data-solution-accelerator,samples,main,https://github.com/Azure-Samples/chat-with-your-data-solution-accelerator/commits/main.atom,https://github.com/Azure-Samples/chat-with-your-data-solution-accelerator/releases.atom
MicrosoftDocs/azure-docs-sdk-node,docs,main,https://github.com/MicrosoftDocs/azure-docs-sdk-node/commits/main.atom,https://github.com/MicrosoftDocs/azure-docs-sdk-node/releases.atom
MicrosoftDocs/azure-docs-sdk-dotnet,docs,main,https://github.com/MicrosoftDocs/azure-docs-sdk-dotnet/commits/main.atom,https://github.com/MicrosoftDocs/azure-docs-sdk-dotnet/releases.atom
dotnet/runtime,docs,main,https://github.com/dotnet/runtime/commits/main.atom,https://github.com/dotnet/runtime/releases.atom
Azure/azure-dev,samples,main,https://github.com/Azure/azure-dev/commits/main.atom,https://github.com/Azure/azure-dev/releases.atom
MicrosoftDocs/edge-developer,docs,main,https://github.com/MicrosoftDocs/edge-developer/commits/main.atom,https://github.com/MicrosoftDocs/edge-developer/releases.atom
Azure/azure-sdk-for-go,docs,main,https://github.com/Azure/azure-sdk-for-go/commits/main.atom,https://github.com/Azure/azure-sdk-for-go/releases.atom
microsoft/mu_oem_sample,samples,release/202502,https://github.com/microsoft/mu_oem_sample/commits/release/202502.atom,https://github.com/microsoft/mu_oem_sample/releases.atom
Azure-Samples/Spec2Cloud,samples,main,https://github.com/Azure-Samples/Spec2Cloud/commits/main.atom,https://github.com/Azure-Samples/Spec2Cloud/releases.atom
OfficeDev/Microsoft-Teams-Samples,samples,main,https://github.com/OfficeDev/Microsoft-Teams-Samples/commits/main.atom,https://github.com/OfficeDev/Microsoft-Teams-Samples/releases.atom
